date,team,role_type,person_name,source_file,source_location,confidence,notes
2011-11-02,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-03,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-05,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-06,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-07,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-08,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-09,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-12,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-16,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-17,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-18,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-20,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-21,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-22,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-23,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
2011-11-24,C,Author,Shawn Ross,C_2011Diary_En.docx,"Name: Shawn Ross on diary form header",high,Shawn Ross wrote Team C diary
